"id","basket_value","recency_days","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10","Item_11","Item_12","Item_13","Item_14","Item_15","Item_16","Item_17","Item_18","Item_19","Item_20","Item_21","Item_22","Item_23","Item_24","Item_25","Item_26","Item_27","Item_28","Item_29","Item_30","Item_31","Item_32"
1057,10.1,76,"frankfurter","ham","chicken","whole milk","butter","processed cheese","frozen vegetables","white bread","pastry","soda","fruit/vegetable juice","red/blush wine","chocolate","pot plants",,,,,,,,,,,,,,,,,,
1058,6.8,10,"pork","ice cream","soda","cake bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,3.4,30,"whole milk","rolls/buns","roll products ","zwieback","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,1.7,67,"soda","misc. beverages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,1.2,6,"whole milk","frozen vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,12.4,4,"pork","hamburger meat","pip fruit","grapes","root vegetables","other vegetables","whole milk","yogurt","cream cheese ","frozen dessert","sugar","meat spreads","soda","fruit/vegetable juice",,,,,,,,,,,,,,,,,,
1065,5.1,50,"whipped/sour cream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,7.2,76,"frankfurter","pip fruit","root vegetables","curd","yogurt","UHT-milk","white bread","pastry","instant coffee","waffles","dish cleaner",,,,,,,,,,,,,,,,,,,,,
1067,2.5,57,"grapes","other vegetables","whole milk","butter","toilet cleaner","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,
1068,20.9,76,"sausage","grapes","butter","curd","yogurt","whipped/sour cream","beverages","UHT-milk","sliced cheese","processed cheese","rolls/buns","pastry","chocolate",,,,,,,,,,,,,,,,,,,
1069,1.1,2,"citrus fruit","white bread","liquor","specialty bar","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,6.6,26,"ham","butter","yogurt","hard cheese","ice cream","domestic eggs","misc. beverages","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,,,,
1073,11.7,76,"beef","tropical fruit","pip fruit","grapes","root vegetables","processed cheese","rolls/buns","white bread","pastry","pasta","specialty vegetables","cat food","soda","misc. beverages",,,,,,,,,,,,,,,,,,
1074,4,46,"other vegetables","whole milk","yogurt","specialty cheese","cereals","bottled beer","long life bakery product",,,,,,,,,,,,,,,,,,,,,,,,,
1075,15.6,76,"frankfurter","sausage","ham","other vegetables","domestic eggs","rolls/buns","pastry","long life bakery product","specialty bar","chocolate marshmallow",,,,,,,,,,,,,,,,,,,,,,
1077,7.4,23,"sausage","other vegetables","whole milk","sliced cheese","white bread","baking powder","pickled vegetables","rum",,,,,,,,,,,,,,,,,,,,,,,,
1078,3.1,44,"bottled water","soda","fruit/vegetable juice","long life bakery product","chewing gum","candy",,,,,,,,,,,,,,,,,,,,,,,,,,
1080,3.1,28,"bottled water","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,3.1,29,"bottled water","soda","chewing gum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,8.4,76,"chicken","beef","whole milk","curd","brown bread","pastry","sauces","pickled vegetables","bottled water","soda","salty snack","waffles","specialty bar","napkins","light bulbs",,,,,,,,,,,,,,,,,
1083,6.2,76,"frankfurter","tropical fruit","dessert","pastry","flour","margarine","sugar","artif. sweetener","sauces","rum","skin care",,,,,,,,,,,,,,,,,,,,,
1084,12.2,76,"chicken","citrus fruit","root vegetables","other vegetables","whole milk","yogurt","hard cheese","processed cheese","mayonnaise","frozen vegetables","pastry","roll products ","rice","margarine","sugar","pickled vegetables","bottled water","fruit/vegetable juice","candy","skin care","napkins",,,,,,,,,,,
1085,12.2,76,"chicken","tropical fruit","whole milk","condensed milk","soft cheese","processed cheese","domestic eggs","white bread","pastry","semi-finished bread","soda","long life bakery product","waffles","specialty chocolate","napkins","dishes","kitchen towels","shopping bags",,,,,,,,,,,,,,
1086,7.7,76,"butter","rolls/buns","pastry","bottled water","canned beer","waffles",,,,,,,,,,,,,,,,,,,,,,,,,,
1087,4.2,30,"citrus fruit","root vegetables","dessert","yogurt","UHT-milk","brown bread",,,,,,,,,,,,,,,,,,,,,,,,,,
1088,5.1,38,"whipped/sour cream","beverages","liquor (appetizer)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,1.1,2,"frankfurter","turkey","citrus fruit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,7.5,11,"beef","citrus fruit","other vegetables","whole milk","domestic eggs","rolls/buns","brown bread","coffee","soda","salty snack","shopping bags",,,,,,,,,,,,,,,,,,,,,
1091,4.4,37,"chicken","other vegetables","white wine","specialty chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,24.3,76,"sausage","finished products","tropical fruit","pip fruit","other vegetables","butter","curd","dessert","butter milk","yogurt","whipped/sour cream","soft cheese","frozen vegetables","rolls/buns","white bread","brown bread","pastry","pasta","soups","baby food","fruit/vegetable juice","salty snack","waffles","cake bar","chocolate","shopping bags",,,,,,
1093,2.3,54,"citrus fruit","whole milk","butter","dessert","UHT-milk","flower (seeds)","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,
1094,5.1,49,"ice cream","coffee","waffles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,3.1,40,"specialty chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,4.6,49,"frankfurter","herbs","yogurt","UHT-milk","mayonnaise","frozen vegetables","margarine","bottled water","soda","salty snack","seasonal products","detergent","pot plants",,,,,,,,,,,,,,,,,,,
1098,3.1,50,"UHT-milk","vinegar","waffles","chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,1.7,63,"UHT-milk","domestic eggs","brown bread","coffee","soda","canned beer","liquor (appetizer)","newspapers",,,,,,,,,,,,,,,,,,,,,,,,
1101,1.1,2,"citrus fruit","butter","UHT-milk","margarine","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,9.8,5,"sausage","hamburger meat","tropical fruit","onions","other vegetables","butter","yogurt","white bread","brown bread","margarine","cat food",,,,,,,,,,,,,,,,,,,,,
1103,10.6,76,"frankfurter","root vegetables","other vegetables","domestic eggs","rolls/buns","pastry","soups","Instant food products","bottled water",,,,,,,,,,,,,,,,,,,,,,,
1104,7.7,13,"citrus fruit","yogurt","UHT-milk","cream cheese ","dish cleaner","house keeping products","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,
1105,4.3,49,"ham","whole milk","processed cheese","white bread","semi-finished bread","bottled water","soda","fruit/vegetable juice","popcorn","chewing gum","shopping bags",,,,,,,,,,,,,,,,,,,,,
1106,2.4,74,"ham","chicken","citrus fruit","pip fruit","herbs","other vegetables","butter","napkins",,,,,,,,,,,,,,,,,,,,,,,,
1107,1.4,11,"bottled water","canned beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,10.2,18,"tropical fruit","pip fruit","other vegetables","cream cheese ","soda","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,
1110,11.2,76,"frankfurter","sausage","UHT-milk","frozen meals","frozen dessert","domestic eggs","rolls/buns","pastry","mustard","coffee",,,,,,,,,,,,,,,,,,,,,,
1111,6.4,10,"hamburger meat","citrus fruit","packaged fruit/vegetables","rolls/buns","vinegar","cocoa drinks","specialty chocolate",,,,,,,,,,,,,,,,,,,,,,,,,
1112,1.7,74,"soda","candy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,10.1,13,"sausage","root vegetables","rolls/buns","bottled water","white wine","flower (seeds)",,,,,,,,,,,,,,,,,,,,,,,,,,
1114,1.5,53,"yogurt","sliced cheese","frozen vegetables","frozen meals","pickled vegetables","coffee","instant coffee",,,,,,,,,,,,,,,,,,,,,,,,,
1115,4,36,"meat","other vegetables","whole milk","yogurt","soft cheese","sliced cheese","domestic eggs","margarine","cat food","pet care","coffee","bottled beer","red/blush wine","dish cleaner","napkins","kitchen towels",,,,,,,,,,,,,,,,
1120,2.9,34,"whole milk","soda","misc. beverages","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,16.9,26,"citrus fruit","tropical fruit","pip fruit","grapes","root vegetables","other vegetables","whole milk","curd","dessert","whipped/sour cream","UHT-milk","frozen vegetables","frozen meals","bottled water","fruit/vegetable juice","specialty chocolate","napkins",,,,,,,,,,,,,,,
1123,7.2,16,"citrus fruit","other vegetables","butter","soda","bottled beer","canned beer","waffles","chocolate","seasonal products",,,,,,,,,,,,,,,,,,,,,,,
1124,7.8,26,"meat","other vegetables","packaged fruit/vegetables","cream cheese ","margarine","bottled water","salty snack",,,,,,,,,,,,,,,,,,,,,,,,,
1125,2.2,62,"rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,6.7,13,"root vegetables","whipped/sour cream","salt","fruit/vegetable juice","salty snack",,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,9.7,3,"tropical fruit","other vegetables","whole milk","curd","whipped/sour cream","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,
1128,1.7,70,"brown bread","oil","sugar","soda","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,7.2,3,"ham","tropical fruit","cream cheese ","processed cheese","white bread","candy",,,,,,,,,,,,,,,,,,,,,,,,,,
1132,1.6,68,"root vegetables","skin care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,5.1,42,"ice cream","misc. beverages","canned beer","napkins","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,4.8,29,"tropical fruit","other vegetables","bottled water","bottled beer","napkins",,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,3,41,"finished products","other vegetables","soda","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,2.8,27,"other vegetables","yogurt","oil","dental care",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1140,1.3,9,"other vegetables","nut snack",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1142,3.2,51,"dessert","yogurt","UHT-milk","soda","canned beer","light bulbs",,,,,,,,,,,,,,,,,,,,,,,,,,
1143,9.4,1,"frankfurter","tropical fruit","cream cheese ","rolls/buns","fruit/vegetable juice","kitchen towels","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,
1144,10.6,24,"sausage","citrus fruit","pip fruit","yogurt","beverages","sliced cheese","sugar","bottled water","soda","cake bar",,,,,,,,,,,,,,,,,,,,,,
1145,9.1,2,"meat","citrus fruit","root vegetables","other vegetables","whipped/sour cream","semi-finished bread","salty snack",,,,,,,,,,,,,,,,,,,,,,,,,
1146,12.2,76,"sausage","yogurt","pastry","margarine","soda","bottled beer","flower (seeds)",,,,,,,,,,,,,,,,,,,,,,,,,
1148,11.6,16,"beef","citrus fruit","onions","herbs","other vegetables","whole milk","yogurt","whipped/sour cream","specialty cheese","brown bread","canned vegetables","bottled water","dish cleaner","abrasive cleaner","hygiene articles",,,,,,,,,,,,,,,,,
1149,12,76,"pip fruit","other vegetables","butter","yogurt","whipped/sour cream","brown bread","pastry","fruit/vegetable juice","detergent",,,,,,,,,,,,,,,,,,,,,,,
1150,3.5,38,"ham","hamburger meat","onions","other vegetables","processed cheese","frozen vegetables","domestic eggs","rolls/buns","white bread","cookware","shopping bags",,,,,,,,,,,,,,,,,,,,,
1151,1.5,70,"yogurt","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1152,2.5,56,"citrus fruit","grapes","curd","bottled water","waffles",,,,,,,,,,,,,,,,,,,,,,,,,,,
1153,1.3,9,"other vegetables","sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1156,5.1,29,"ham","grapes","spread cheese","ice cream","frozen potato products","white bread","oil","pudding powder",,,,,,,,,,,,,,,,,,,,,,,,
1157,3.1,32,"grapes","specialty cheese","pasta","coffee","bottled water","soda","canned beer","brandy","white wine",,,,,,,,,,,,,,,,,,,,,,,
1158,4.1,76,"pastry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1159,2.5,57,"citrus fruit","bottled water","red/blush wine","photo/film",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1162,3.2,36,"citrus fruit","tropical fruit","pip fruit","long life bakery product",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1163,1.7,64,"soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1165,3.3,35,"root vegetables","sliced cheese","soda","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1166,1.3,9,"pork","other vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1167,1.2,6,"turkey","whole milk","UHT-milk","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1168,5.1,30,"tropical fruit","other vegetables","soda","candy","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
1169,6.2,4,"sausage","other vegetables","pasta","oil","margarine","coffee","syrup","canned beer","napkins","light bulbs","shopping bags",,,,,,,,,,,,,,,,,,,,,
1170,7.6,18,"sausage","meat","other vegetables","brown bread","canned fish","bottled water","canned beer","liquor (appetizer)","shopping bags",,,,,,,,,,,,,,,,,,,,,,,
1171,8,1,"pork","tropical fruit","other vegetables","dessert","yogurt","roll products ","flour","rice","coffee","bottled water","soda","fruit/vegetable juice","canned beer","salty snack",,,,,,,,,,,,,,,,,,
1172,6,7,"sausage","citrus fruit","pip fruit","mayonnaise","brown bread","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,
1173,3.1,42,"grapes","chocolate","light bulbs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1174,4.1,75,"grapes","pastry","salty snack","light bulbs","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
1175,4.2,36,"other vegetables","yogurt","processed cheese","ketchup","bottled water","male cosmetics",,,,,,,,,,,,,,,,,,,,,,,,,,
1177,1.4,11,"bottled water","pot plants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,1.7,64,"UHT-milk","soda","dish cleaner","napkins",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,6.2,22,"bottled water","soda","chewing gum","specialty chocolate","candy",,,,,,,,,,,,,,,,,,,,,,,,,,,
1181,2.2,71,"rolls/buns","canned fish","canned beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1182,3.1,35,"specialty chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1183,11,11,"beef","other vegetables","butter milk","yogurt","whipped/sour cream","cream cheese ","white bread","fruit/vegetable juice","bottled beer","chocolate",,,,,,,,,,,,,,,,,,,,,,
1184,3.5,36,"tropical fruit","pasta","bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1185,6.6,6,"beef","root vegetables","other vegetables","butter","yogurt","rolls/buns","flour",,,,,,,,,,,,,,,,,,,,,,,,,
1186,2.2,58,"rolls/buns","white wine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1187,6.7,15,"berries","root vegetables","whipped/sour cream","roll products ","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,8.3,2,"sausage","hamburger meat","whole milk","rolls/buns","oil","pickled vegetables","softener","hygiene articles",,,,,,,,,,,,,,,,,,,,,,,,
1189,6.3,11,"chicken","pork","beef","whole milk","curd","whipped/sour cream",,,,,,,,,,,,,,,,,,,,,,,,,,
1190,18.6,75,"sausage","citrus fruit","whole milk","cream cheese ","processed cheese","frozen vegetables","rolls/buns","pastry","fruit/vegetable juice","chewing gum",,,,,,,,,,,,,,,,,,,,,,
1193,1.7,58,"soda","canned beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1194,3.7,42,"yogurt","UHT-milk","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,2.2,51,"rolls/buns","red/blush wine","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,2.2,62,"rolls/buns","coffee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1197,1.2,6,"whole milk","brown bread",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1198,11.8,22,"citrus fruit","root vegetables","other vegetables","whole milk","curd","yogurt","whipped/sour cream","hard cheese","cream cheese ","domestic eggs","flour","rice","oil","margarine","sugar",,,,,,,,,,,,,,,,,
1199,8.5,75,"citrus fruit","tropical fruit","grapes","whole milk","brown bread","pastry",,,,,,,,,,,,,,,,,,,,,,,,,,
1200,3.1,34,"brown bread","chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,8.5,8,"tropical fruit","other vegetables","whipped/sour cream","UHT-milk","frozen vegetables","oil","margarine","fruit/vegetable juice","kitchen towels",,,,,,,,,,,,,,,,,,,,,,,
1202,10.8,26,"frankfurter","tropical fruit","butter","whipped/sour cream","frozen vegetables","rolls/buns","sugar","baking powder","bottled water","misc. beverages","long life bakery product","newspapers",,,,,,,,,,,,,,,,,,,,
1204,2.2,53,"ham","rolls/buns","bottled beer","chewing gum",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1205,4.2,43,"other vegetables","curd","yogurt","pickled vegetables","bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,11.2,16,"sausage","whole milk","curd","butter milk","whipped/sour cream",,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,2.9,46,"pork","whole milk","margarine","soda","canned beer","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,
1208,9.4,7,"citrus fruit","yogurt","whipped/sour cream","soda","cookware",,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,7.4,75,"tropical fruit","whole milk","domestic eggs","pastry","hygiene articles",,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,7.9,23,"other vegetables","yogurt","cream cheese ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,6,22,"pork","whole milk","sugar","soda","long life bakery product","chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,
1212,9.5,17,"chicken","pork","pip fruit","other vegetables","whole milk","tidbits","frozen fish","rolls/buns","margarine","baking powder","soda","bottled beer","white wine","waffles","chocolate","candy",,,,,,,,,,,,,,,,
1213,6.5,11,"root vegetables","whole milk","yogurt","rolls/buns","pot plants",,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,1.1,2,"citrus fruit","cake bar","baby cosmetics","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,8.4,15,"beef","tropical fruit","whole milk","ice cream","cat food",,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,21,26,"frankfurter","sausage","liver loaf","ham","chicken","beef","citrus fruit","tropical fruit","root vegetables","other vegetables","whole milk","butter","curd","yogurt","whipped/sour cream","beverages","soft cheese","hard cheese","cream cheese ","mayonnaise","domestic eggs","rolls/buns","roll products ","flour","pasta","margarine","specialty fat","sugar","soups","skin care","hygiene articles","candles"
1218,10.8,75,"frankfurter","pip fruit","other vegetables","yogurt","spread cheese","rolls/buns","white bread","pastry","coffee","soda","waffles","hygiene articles",,,,,,,,,,,,,,,,,,,,
1219,6.6,3,"beef","hamburger meat","other vegetables","rolls/buns","brown bread","bottled water","soda","bottled beer","canned beer",,,,,,,,,,,,,,,,,,,,,,,
1220,7.6,26,"ham","pork","hamburger meat","pip fruit","other vegetables","whole milk","butter","curd","dessert","butter milk","whipped/sour cream","domestic eggs","brown bread","roll products ","hygiene articles",,,,,,,,,,,,,,,,,
1222,2.9,41,"pork","root vegetables","other vegetables","specialty fat","sugar","baking powder","cat food","salty snack","waffles","shopping bags",,,,,,,,,,,,,,,,,,,,,,
1223,1.4,11,"condensed milk","bottled water","misc. beverages","bottled beer","bathroom cleaner",,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,4.9,33,"sausage","meat","butter","domestic eggs","cat food",,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,9.3,75,"chicken","pork","grapes","other vegetables","domestic eggs","rolls/buns","pastry","soda","specialty bar",,,,,,,,,,,,,,,,,,,,,,,
1228,9.3,6,"finished products","other vegetables","whole milk","whipped/sour cream","margarine","cereals","soda","salty snack",,,,,,,,,,,,,,,,,,,,,,,,
1229,14.9,18,"pork","beef","citrus fruit","berries","root vegetables","other vegetables","whole milk","yogurt","cream cheese ","vinegar","oil","cat food","specialty chocolate","detergent","dish cleaner","abrasive cleaner","cleaner","hygiene articles","shopping bags",,,,,,,,,,,,,
1230,4.3,33,"root vegetables","whole milk","yogurt","frozen potato products",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,3.1,40,"bottled water","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,4.9,27,"other vegetables","rolls/buns","bottled water","fruit/vegetable juice","canned beer","whisky","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,
1236,1.2,6,"whole milk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,15.3,75,"sausage","meat","pork","whole milk","butter","whipped/sour cream","frozen vegetables","frozen dessert","white bread","brown bread","pastry","coffee",,,,,,,,,,,,,,,,,,,,
1238,7.1,10,"sausage","mayonnaise","rolls/buns","canned beer","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,2.1,58,"tropical fruit","sliced cheese","domestic eggs","zwieback",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,3.6,32,"frankfurter","beef","tropical fruit","pip fruit","butter","yogurt","dog food","long life bakery product","cookware","newspapers",,,,,,,,,,,,,,,,,,,,,,
1242,6.6,13,"frankfurter","sausage","packaged fruit/vegetables","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,1.3,9,"frankfurter","other vegetables","zwieback",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,11.6,7,"chicken","tropical fruit","pip fruit","root vegetables","herbs","other vegetables","dessert","yogurt","whipped/sour cream","beverages","brown bread","cat food","shopping bags",,,,,,,,,,,,,,,,,,,
1245,4.6,50,"tropical fruit","pip fruit","other vegetables","whole milk","napkins","dishes","flower (seeds)",,,,,,,,,,,,,,,,,,,,,,,,,
1247,9.1,75,"citrus fruit","grapes","rolls/buns","pastry","coffee","soda",,,,,,,,,,,,,,,,,,,,,,,,,,
1248,1.2,6,"hamburger meat","pip fruit","whole milk","curd","beverages","brandy","male cosmetics","cookware","shopping bags",,,,,,,,,,,,,,,,,,,,,,,
1251,2.2,61,"rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,1.4,11,"bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,13.8,75,"sausage","tropical fruit","whole milk","yogurt","processed cheese","pastry","margarine","Instant food products","coffee","popcorn","house keeping products",,,,,,,,,,,,,,,,,,,,,
1254,3.1,40,"frozen potato products","bottled water","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1255,7.7,12,"frankfurter","whole milk","whipped/sour cream","curd cheese","domestic eggs","margarine","baking powder","cat food","bottled water","canned beer","candy","napkins",,,,,,,,,,,,,,,,,,,,
1256,17.2,26,"sausage","root vegetables","other vegetables","whole milk","butter","whipped/sour cream","processed cheese","sugar","baking powder","jam","coffee","bottled water","soda","fruit/vegetable juice","salty snack","long life bakery product","candy","napkins",,,,,,,,,,,,,,
1257,2.1,73,"tropical fruit","dessert","sweet spreads","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1260,2.2,52,"rolls/buns","brown bread",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1261,4.4,30,"citrus fruit","tropical fruit","whole milk","coffee",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1262,1.5,53,"yogurt","softener",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1263,9.9,23,"turkey","pork","beef","hamburger meat","tropical fruit","root vegetables","onions","other vegetables","whole milk","butter","butter milk","yogurt","rolls/buns","oil","fruit/vegetable juice","waffles","candy",,,,,,,,,,,,,,,
1264,1.7,75,"soda","softener",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,7.4,2,"sausage","other vegetables","whole milk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1268,11.8,22,"pork","root vegetables","whole milk","curd","whipped/sour cream","rolls/buns","white bread","canned vegetables","soda","cleaner",,,,,,,,,,,,,,,,,,,,,,
1270,16.9,75,"frankfurter","sausage","tropical fruit","whole milk","yogurt","pastry","sugar","bottled water","soda","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,,
1272,3.5,49,"chicken","hamburger meat","other vegetables","rolls/buns","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
1273,2.2,58,"beef","domestic eggs","rolls/buns","flour","candy",,,,,,,,,,,,,,,,,,,,,,,,,,,
1274,3.1,44,"dessert","UHT-milk","bottled water","soda","canned beer","chewing gum","softener","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,
1275,2.4,59,"pork","citrus fruit","other vegetables","domestic eggs","margarine","canned beer",,,,,,,,,,,,,,,,,,,,,,,,,,
1276,5.1,36,"curd","whipped/sour cream","flour","baking powder","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,,
1278,5.1,44,"whipped/sour cream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1279,6.5,25,"frankfurter","ham","root vegetables","onions","whole milk","yogurt","rolls/buns","white bread","brown bread","margarine",,,,,,,,,,,,,,,,,,,,,,
1280,7.9,75,"frankfurter","root vegetables","rolls/buns","pastry","mustard","bottled beer","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,
1281,4.7,29,"liver loaf","root vegetables","pet care","waffles","chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,
1282,4.1,43,"pork","root vegetables","onions","other vegetables","whole milk","napkins","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,
1283,3.1,41,"frankfurter","liver loaf","turkey","UHT-milk","pasta","waffles","chocolate","dental care","dishes",,,,,,,,,,,,,,,,,,,,,,,
1284,6.9,2,"pork","citrus fruit","root vegetables","other vegetables","whole milk","butter","soda","dishes","newspapers","flower (seeds)",,,,,,,,,,,,,,,,,,,,,,
1285,13,17,"pork","tropical fruit","root vegetables","onions","other vegetables","whole milk","butter","whipped/sour cream","soft cheese","sliced cheese","ice cream","semi-finished bread","soda","newspapers",,,,,,,,,,,,,,,,,,
1286,1.7,65,"soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1287,5.5,72,"root vegetables","rolls/buns","margarine","soda","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,8.2,15,"whipped/sour cream","beverages","fruit/vegetable juice","chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,3.1,35,"chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,4.3,45,"whole milk","frozen vegetables","specialty chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1291,7.5,75,"pork","beef","whole milk","curd","rolls/buns","pastry",,,,,,,,,,,,,,,,,,,,,,,,,,
1293,2.2,70,"rolls/buns","waffles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1294,7.3,6,"citrus fruit","other vegetables","whole milk","yogurt","hard cheese","specialty cheese","rolls/buns","flour","cat food",,,,,,,,,,,,,,,,,,,,,,,
1295,2.6,65,"citrus fruit","yogurt","brown bread","pasta",,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,4.8,40,"soda","chocolate","specialty chocolate","newspapers","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
1297,7.3,12,"cream cheese ","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1298,1.7,72,"soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299,5.1,39,"chicken","whipped/sour cream","coffee","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,,
